producto,marca,precio,unidad
Cerveza,Heineken,0.69,333 ml
Croquetas,Maheso,5.63,1000 g
Croquetas,La Cocinera,8.5,1000 g
Croquetas,Selección (Carrefour),8.83,1000 g
Croquetas,Senén,19.95,1000 g
Croquetas,Alcampo,2,1000 g
Croquetas,Fridela,13.65,1000 g
Croquetas,Hacendado (Mercadona),1.98,1000 g
Croquetas,Monissa (Lidl),1.9,1000 g
Croquetas,El Corte Inglés,4.38,1000 g
Panettone,Giuseppe (Mercadona),5.2,1000 g
Panettone,Favorita (Lidl),3.99,1000 g
Panettone,Saronno (El Crote Ingles),49,1000 g
Panettone,Bauli,13.06,1000 g
Panettone,Motta,9.25,1000 g
Panettone,Tre Marie,16.9,1000 g
Panettone,Lacasitos,22.9,1000 g
Panettone,Delaviuda,7.98,1000 g
Guacamole,Hacendado (Mercadona),7.95,1000 g
Guacamole,Soan Fresh (Dia),7.95,1000 g
Guacamole,Chef Select (Lidl),6.45,1000 g
Guacamole,Cantina,12.33,1000 g
Guacamole,Salssitas,11.25,1000 g
Guacamole,Frudel,8.95,1000 g
Guacamole,Old El Paso,8.44,1000 g
Guacamole,Fresh Mix,8.95,1000 g
Salsa de tomate,Dia,0.32,100 g
Salsa de tomate,Orlando,0.36,100 g
Salsa de tomate,Hida,0.41,100 g
Salsa de tomate,Hacendado (Mercadona),0.15,100 g
Salsa de tomate,Alcampo,0.24,100 g
Salsa de tomate,Solis,0.31,100 g
Salsa de tomate,Pedro Luis,0.69,100 g
Salsa de tomate,El Corte Inglés,0.39,100 g
Sushi,Flete (Aldi),1.77,100 g
Sushi,Sushita,3.17,100 g
Sushi,La Sirena,2.5,100 g
Sushi,Carrefour,4.32,100 g
Sushi,Mercadona,3.32,100 g
Sushi,Sushi Take (Caprabo/Eroski),3.72,100 g
Sushi,Sushi Gourmet (Alcampo),4.75,100 g
Sushi,Lidl,2.37,100 g
Cerveza sin alcohol,Free Damm,0.49,333 ml
Cerveza sin alcohol,Carrefour,0.28,333 ml
Cerveza sin alcohol,Mahou Sin,0.52,333 ml
Cerveza sin alcohol,Perlenbacher (Lidl),0.25,333 ml
Cerveza sin alcohol,Buckler,0.55,333 ml
Cerveza sin alcohol,San Miguel,0.52,333 ml
Cerveza sin alcohol,Steinburg (Mercadona),0.25,333 ml
Cerveza sin alcohol,Estrella Galicia,0.5,333 ml
Cerveza sin alcohol,Amstel,0.54,333 ml
Cava,Dominio de la Vega,8.36,Unidad
Cava,Jaume Serra,2.61,Unidad
Cava,Anna Codorniu,8.8,Unidad
Cava,Royal Carlton,7.02,Unidad
Cava,Segura Viudas,7.02,Unidad
Cava,Agusti Torrello Mata,9.9,Unidad
Cava,Via de la Plata,4.97,Unidad
Cava,Freixenet,7.8,Unidad
Cava,Bach Extrísimo,3.85,Unidad
Agua,Sevilla,NA,NA
Agua,Mallorca,NA,NA
Agua,Valencia,NA,NA
Agua,Zaragoza,NA,NA
Agua,Bilbao,NA,NA
Agua,Málaga,NA,NA
Agua,Madrid,NA,NA
Agua,Barcelona,NA,NA
Agua,Murcia,NA,NA
Vermut,Yzaguirre,6.75,1000 ml
Vermut,Cinzano,5.9,1000 ml
Vermut,Maronti (Mercadona),2.15,1000 ml
Vermut,Lacuesta,8.13,1000 ml
Vermut,Espinaler,8,1000 ml
Vermut,Alvini (Dia),2.09,1000 ml
Vermut,Lustau,17.85,1000 ml
Vermut,Martini,7.99,1000 ml
Vermut,Vernotti,2.41,1000 ml
Salmorejo,El Corte Inglés,2.5,1000 ml
Salmorejo,Alvalle,3.25,1000 ml
Salmorejo,Santa Teresa,5.78,1000 ml
Salmorejo,Salteras,3.89,1000 ml
Salmorejo,Hacendado (Mercadona),3.3,1000 ml
Salmorejo,García Millán (Aldi),2.95,1000 ml
Salmorejo,La Despensa,7.5,1000 ml
Salmorejo,Don Simón,3,1000 ml
Café (molido),Nestlé Bonka,8.76,1000 g
Café (molido),El Corte Inglés,7.8,1000 g
Café (molido),Marcilla,9.96,1000 g
Café (molido),Saimaza,8.76,1000 g
Café (molido),Lavazza,14.36,1000 g
Café (molido),Hacendado (Mercadona),4.2,1000 g
Café (molido),Fortaleza,10.36,1000 g
Café (molido),Saula,24.76,1000 g
Café (molido),Carrefour,7.96,1000 g
Mozzarella,Galvani,19.92,1001 g
Mozzarella,Ponte Reale,14.56,1000 g
Mozzarella,Zanetti,16,1000 g
Mozzarella,Hacendado,4.46,1000 g
Mozzarella,Eroski,6.72,1000 g
Mozzarella,Dia,6.8,1000 g
Mozzarella,Central Lechera Asturiana,10,1000 g
Mozzarella,Lovilio (Lidl),6,1000 g
Mozzarella,Consum,6.4,1000 g
Mozzarella,Carrefour,6.24,1000 g
Turrón blando,El Almendro,19.12,1000 g
Turrón blando,1880,39,1000 g
Turrón blando,Vicens,23.18,1000 g
Turrón blando,Virginias,27.5,1000 g
Turrón blando,El Lobo,19.2,1000 g
Turrón blando,Pablo Garrigós Ibáñez,43,1000 g
Turrón blando,Delaviuda,19.12,1000 g
Turrón blando,Picó,16.5,1000 g
